20230116	20:23:14	a08405cd-8ac7-4776-9cb6-fb48b3d51429	/img/stonks.png	GET
20230116	20:23:37	051e0a3a-bce6-4c65-9a7a-87a0332aa1f9	/	GET
20230116	20:24:13	b563b359-7ff0-4f68-af94-672b1b8cb332	/	GET
20230116	20:24:39	cce93f60-e8c7-4057-a7c6-6e01b71d7688	/	GET
20230117	17:18:54	59306fef-9fa6-41e7-9093-4a5b1677d6a0	GET	undefined	/img/stonks.png
20230117	17:19:07	cf4d6dd9-54f9-4efc-aab5-227023557fd1	GET	undefined	/img/stonks.png
20230117	17:20:19	d52a9d73-9fd3-4d32-b16a-5eada74bb679	GET	undefined	/img/stonks.png
20230117	17:20:23	d397c833-5d4d-48f6-b7d3-dd4951f3dd3f	GET	undefined	/img/stonks.png
20230117	17:20:54	2e1a158e-3805-4eb1-8519-90bd19e59125	GET	https://www.google.com	/
20230117	17:22:33	e0b1288c-9f01-4fd5-a22e-e11e06d17cee	GET	https://www.google.com	/
20230117	17:22:39	62b9cadf-bdac-43cc-a0b3-bc1e75d38cd1	GET	https://www.google.com	/
20230117	17:22:48	41f94509-c9d1-4a23-8048-3182f5622088	GET	https://www.google.com	/
20230117	17:23:09	f9f82943-457a-427f-b67f-aba067e23f8a	GET	https://www.google.com	/
20230117	17:23:22	a7125dda-a64f-4b08-b1c2-389c6a204b38	GET	undefined	/
20230117	17:23:43	0fef39cd-3a4f-4a26-8d91-e3183550c383	GET	undefined	/
20230117	17:23:49	372ed2b5-fbfd-40c3-b868-ae2dca6f4126	GET	undefined	/next-page
20230117	17:24:11	1dff92fd-cc33-4b5b-b0cc-62de8778b2bf	GET	undefined	/next-page
20230117	17:25:09	1e29b947-2337-45f1-8de0-b44404d5449a	GET	undefined	/
20230117	17:25:16	717c33a6-5353-47b8-90fd-8b952621a311	GET	https://www.google.com	/
20230117	17:28:29	e39eb092-acb5-4e39-94ba-646a0b5fb36d	GET	https://www.google.com	/
20230117	17:28:33	d322e961-972e-4a65-8506-d5102631dc73	GET	undefined	/
20230117	17:28:46	9e0cd7af-3fc1-49b6-9d80-5cd580347958	GET	https://www.google.com	/
20230117	17:28:49	d83dd05e-1e8c-433a-861f-ba28bb50721f	GET	undefined	/
20230117	17:29:34	4f6c489a-45ab-4996-8a28-08e20c3b9718	GET	https://www.google.com	/
20230117	17:30:44	9a407dc2-b010-4640-a695-b0656f0d42cd	GET	undefined	/
20230117	17:31:11	1367202e-f79b-4c8e-957e-57d7898a47e0	GET	undefined	/
20230117	17:33:57	26cc1bf7-a96c-4520-a676-6d2d37394ea7	GET	undefined	/
20230117	17:34:10	dfdb73f2-03e1-4def-ad90-c35aa8354386	GET	https://www.google.com	/
20230117	17:34:48	135c50e4-16cb-4c49-9b60-27ce8c9a2b78	GET	undefined	/
20230117	17:35:28	f0284a78-fa39-40be-9000-f04e3378f80e	GET	undefined	/
20230117	17:35:32	c5e6d65d-8dcf-485d-abc4-527e765dc115	GET	undefined	/foobar
20230117	17:36:57	c03ec4ab-9414-455b-9396-7246fb1bab65	GET	undefined	/foobar
20230117	17:44:00	6df4baab-3338-461a-8682-41e589320507	GET	undefined	/foobar
20230117	17:44:03	5d29b436-09ff-4b16-bc10-1e92ec9a865b	GET	undefined	/
20230117	17:44:06	6c42d2cb-3768-42fa-a05c-7ccc9c91a41f	GET	undefined	/subdir/
20230117	17:44:11	5cc83da3-7a08-43a8-9bba-8d55dc9f465b	GET	undefined	/subdir/test
20230117	17:44:16	8d739f3e-6160-415d-8dfa-145850992024	GET	undefined	/subdir/test.html
20230117	17:44:57	4f4b822d-d4eb-497e-ad94-0127f87245f1	GET	undefined	/subdir/test.html
20230117	17:45:58	b0eefbfb-d67a-4dbb-8549-e35e68650d18	GET	undefined	/subdir/asdfasdfasdf
20230117	17:47:41	df15c3bc-f2a3-4f26-9aca-fd766aee73d3	GET	undefined	/
20230117	17:47:54	3cbc8b04-48b1-4235-a17d-3295762db5bb	GET	undefined	/
20230117	17:48:28	00c10101-8eba-4dde-9561-18980fa0a23b	GET	undefined	/
20230117	17:48:28	c77a0d30-5619-4590-980e-cdff6e6104e0	GET	undefined	/css/style.css
20230117	17:48:41	342724ce-caf6-49d4-a90e-ec16045217aa	GET	undefined	/
20230117	17:48:41	0f1d26a2-cc0c-423b-8bda-692f661010e7	GET	undefined	/css/style.css
20230117	17:49:12	81fa6308-baf1-47b1-9b4a-a7880378be85	GET	undefined	/subdir/
20230117	17:49:12	5f3a5478-1cfa-4e63-88eb-516272a036a0	GET	undefined	/subdir/css/style.css
20230117	17:49:45	205c12b2-cddb-4cf2-8c5f-04943a73f3d7	GET	undefined	/subdir/
20230117	17:49:45	04b98ea0-d789-4086-b246-68f850d670a7	GET	undefined	/subdir/css/style.css
20230117	17:50:15	81053e95-dc1f-4a49-8d46-298a833717d5	GET	undefined	/subdir/
20230117	17:50:21	ead967b0-a17d-488f-b912-993a05adecb4	GET	undefined	/subdir/
20230117	17:50:21	1f343eee-c90a-49f5-9672-484bb30948f8	GET	undefined	/subdir/css/style.css
20230117	17:52:50	f5b4e7f6-fb11-4a47-8e8d-909abfd0534c	GET	undefined	/subdir/
20230117	17:52:50	d836445d-28e9-451f-9731-ddcea3a870c6	GET	undefined	/subdir/css/style.css
20230117	17:52:54	1cf83168-68c6-49d8-9c94-9bcdb4c778da	GET	undefined	/
20230117	17:53:25	9e1b27fc-2847-4cd0-b646-a6c43de58be5	GET	undefined	/
20230117	17:53:25	263a4918-cee5-4608-81af-47a4f8b99311	GET	undefined	/css/style.css
20230117	17:54:04	e6b405d3-c07a-411a-91c8-f3673bcf7148	GET	undefined	/
20230117	17:54:13	cc90ae8c-34a5-4c09-af6a-11cc481fafe1	GET	undefined	/
20230117	17:54:18	b87b29e7-ddf0-4d5c-bff5-6fc31285c19d	GET	undefined	/index.html
20230117	17:54:37	a2379ca0-b5b8-4fc6-b629-c8eea82006f4	GET	undefined	/index.html
20230117	17:54:37	ecdd8cb6-8e80-463d-a6c9-0b5df7fd6edc	GET	undefined	/css/style.css
20230117	17:55:00	4c32ea6e-0d98-4e80-9259-859246cd3f1f	GET	undefined	/new-page.html
20230117	17:55:09	5002354a-1a88-4913-9110-e8762f0fb398	GET	undefined	/old-page.html
20230117	17:55:09	1407632e-72da-42d7-ba89-0f6c4f195a51	GET	undefined	/new-page.html
20230117	17:55:17	6e4fbf17-015c-4b67-ab5f-f8366e021484	GET	undefined	/
20230117	17:55:17	d8b33ad7-f0fd-47ca-a858-1a9424dbaa47	GET	undefined	/css/style.css
20230117	17:55:19	97181f46-c3f2-4d05-8891-66789293c97b	GET	undefined	/index.html
20230117	17:55:20	064998ba-ca63-4305-b397-33f849bd32ca	GET	undefined	/css/style.css
20230117	18:07:49	922a9ea2-d608-4e13-a260-d6d6bc1cebd6	GET	undefined	/employees
20230117	18:08:38	8c84ed66-a3c6-4e6c-a021-b736a1344984	POST	undefined	/employees
20230117	18:10:11	93ccc7d6-8692-40f3-aa13-323a64c508a8	GET	undefined	/
20230117	18:10:23	532bbcd3-c3e7-4e1a-b976-e65e14a28f42	GET	undefined	/index.html
20230117	18:10:28	25b2a5e5-2c3f-4d9d-829c-322b9d18cf76	GET	undefined	/employees
20230117	18:11:15	fdbca843-dd92-43be-9930-dbb19821b334	PUT	undefined	/employees
20230117	18:11:39	9d006bfa-3f17-4659-9ce0-76a010f04f32	DELETE	undefined	/employees
20230117	18:12:42	49ae46dc-f49e-4b57-b6b6-5131b38d01f8	GET	undefined	/employees/1
20230117	19:54:25	1ffe5c31-e0b6-4de9-8264-7680df24fc9f	GET	undefined	/employees
20230117	19:55:00	4e5603e2-2244-43ce-a17e-34da2597dc23	POST	undefined	/employees
20230117	19:55:50	2b7a980b-93ce-4945-aca7-fd1f0e2f9ee2	POST	undefined	/employees
20230117	19:55:53	c7440a96-8d4c-44da-9803-bac268819e82	POST	undefined	/employees
